year,campus,programme_code,programme_name,degree_type,cutoff_score,max_score
2021,Pilani,MSC-BIO,"M.Sc. Biological Sciences",MSC,226,450
2021,Pilani,MSC-CHEM,"M.Sc. Chemistry",MSC,214,450
2021,Pilani,MSC-ECON,"M.Sc. Economics",MSC,291,450
2021,Pilani,MSC-MATH,"M.Sc. Mathematics",MSC,256,450
2021,Pilani,MSC-PHYS,"M.Sc. Physics",MSC,252,450
2020,Goa,BE-CHE,"B.E. Chemical",BE,248,450
2020,Goa,BE-CSE,"B.E. Computer Science",BE,347,450
2020,Goa,BE-ECE,"B.E. Electronics & Communication",BE,320,450
2020,Goa,BE-EEE,"B.E. Electrical & Electronics",BE,306,450
2020,Goa,BE-EIE,"B.E. Electronics & Instrumentation",BE,293,450
2020,Goa,BE-MECH,"B.E. Mechanical",BE,269,450
2020,Goa,MSC-BIO,"M.Sc. Biological Sciences",MSC,246,450
2020,Goa,MSC-CHEM,"M.Sc. Chemistry",MSC,249,450
2020,Goa,MSC-ECON,"M.Sc. Economics",MSC,290,450
2020,Goa,MSC-MATH,"M.Sc. Mathematics",MSC,265,450
2020,Goa,MSC-PHYS,"M.Sc. Physics",MSC,271,450
2020,Hyderabad,BE-CHE,"B.E. Chemical",BE,240,450
2020,Hyderabad,BE-CIV,"B.E. Civil",BE,240,450
2020,Hyderabad,BE-CSE,"B.E. Computer Science",BE,336,450
2020,Hyderabad,BE-ECE,"B.E. Electronics & Communication",BE,314,450
2020,Hyderabad,BE-EEE,"B.E. Electrical & Electronics",BE,300,450
2020,Hyderabad,BE-EIE,"B.E. Electronics & Instrumentation",BE,290,450
2020,Hyderabad,BE-MECH,"B.E. Mechanical",BE,260,450
2020,Hyderabad,BPHARM,"B. Pharm.",BPHARM,161,450
2020,Hyderabad,MSC-BIO,"M.Sc. Biological Sciences",MSC,240,450
2020,Hyderabad,MSC-CHEM,"M.Sc. Chemistry",MSC,240,450
2020,Hyderabad,MSC-ECON,"M.Sc. Economics",MSC,281,450
2020,Hyderabad,MSC-MATH,"M.Sc. Mathematics",MSC,257,450
2020,Hyderabad,MSC-PHYS,"M.Sc. Physics",MSC,256,450
2020,Pilani,BE-CHE,"B.E. Chemical",BE,270,450
2020,Pilani,BE-CIV,"B.E. Civil",BE,254,450
2020,Pilani,BE-CSE,"B.E. Computer Science",BE,372,450
2020,Pilani,BE-EEE,"B.E. Electrical & Electronics",BE,333,450
2020,Pilani,BE-EIE,"B.E. Electronics & Instrumentation",BE,323,450
2020,Pilani,BE-MANF,"B.E. Manufacturing",BE,253,450
2020,Pilani,BE-MECH,"B.E. Mechanical",BE,298,450
2020,Pilani,BPHARM,"B. Pharm.",BPHARM,203,450
2020,Pilani,MSC-BIO,"M.Sc. Biological Sciences",MSC,261,450
2020,Pilani,MSC-CHEM,"M.Sc. Chemistry",MSC,258,450
2020,Pilani,MSC-ECON,"M.Sc. Economics",MSC,304,450
2020,Pilani,MSC-MATH,"M.Sc. Mathematics",MSC,286,450
2020,Pilani,MSC-PHYS,"M.Sc. Physics",MSC,283,450
2019,Goa,BE-CHE,"B.E. Chemical",BE,254,450
2019,Goa,BE-CSE,"B.E. Computer Science",BE,352,450
2019,Goa,BE-ECE,"B.E. Electronics & Communication",BE,322,450
2019,Goa,BE-EEE,"B.E. Electrical & Electronics",BE,310,450
2019,Goa,BE-EIE,"B.E. Electronics & Instrumentation",BE,294,450
2019,Goa,BE-MECH,"B.E. Mechanical",BE,280,450
2019,Goa,MSC-BIO,"M.Sc. Biological Sciences",MSC,250,450
2019,Goa,MSC-CHEM,"M.Sc. Chemistry",MSC,256,450
2019,Goa,MSC-ECON,"M.Sc. Economics",MSC,295,450
2019,Goa,MSC-MATH,"M.Sc. Mathematics",MSC,276,450
2019,Goa,MSC-PHYS,"M.Sc. Physics",MSC,274,450
2019,Hyderabad,BE-CHE,"B.E. Chemical",BE,252,450
2019,Hyderabad,BE-CIV,"B.E. Civil",BE,254,450
2019,Hyderabad,BE-CSE,"B.E. Computer Science",BE,342,450
2019,Hyderabad,BE-ECE,"B.E. Electronics & Communication",BE,318,450
2019,Hyderabad,BE-EEE,"B.E. Electrical & Electronics",BE,308,450
2019,Hyderabad,BE-EIE,"B.E. Electronics & Instrumentation",BE,294,450
2019,Hyderabad,BE-MECH,"B.E. Mechanical",BE,275,450
2019,Hyderabad,BPHARM,"B. Pharm.",BPHARM,161,450
2019,Hyderabad,MSC-BIO,"M.Sc. Biological Sciences",MSC,247,450
2019,Hyderabad,MSC-CHEM,"M.Sc. Chemistry",MSC,249,450
2019,Hyderabad,MSC-ECON,"M.Sc. Economics",MSC,290,450
2019,Hyderabad,MSC-MATH,"M.Sc. Mathematics",MSC,270,450
2019,Hyderabad,MSC-PHYS,"M.Sc. Physics",MSC,265,450
2019,Pilani,BE-CHE,"B.E. Chemical",BE,281,450
2019,Pilani,BE-CIV,"B.E. Civil",BE,269,450
2019,Pilani,BE-CSE,"B.E. Computer Science",BE,383,450
2019,Pilani,BE-EEE,"B.E. Electrical & Electronics",BE,341,450
2019,Pilani,BE-EIE,"B.E. Electronics & Instrumentation",BE,328,450
2019,Pilani,BE-MANF,"B.E. Manufacturing",BE,255,450
2019,Pilani,BE-MECH,"B.E. Mechanical",BE,313,450
2019,Pilani,BPHARM,"B. Pharm.",BPHARM,195,450
2019,Pilani,MSC-BIO,"M.Sc. Biological Sciences",MSC,265,450
2019,Pilani,MSC-CHEM,"M.Sc. Chemistry",MSC,269,450
2019,Pilani,MSC-ECON,"M.Sc. Economics",MSC,315,450
2019,Pilani,MSC-MATH,"M.Sc. Mathematics",MSC,297,450
2019,Pilani,MSC-PHYS,"M.Sc. Physics",MSC,290,450
2018,Goa,BE-CHE,"B.E. Chemical",BE,260,450
2018,Goa,BE-CSE,"B.E. Computer Science",BE,347,450
2018,Goa,BE-ECE,"B.E. Electronics & Communication",BE,314,450
2018,Goa,BE-EEE,"B.E. Electrical & Electronics",BE,308,450
2018,Goa,BE-EIE,"B.E. Electronics & Instrumentation",BE,289,450
2018,Goa,BE-MECH,"B.E. Mechanical",BE,283,450
2018,Goa,MSC-BIO,"M.Sc. Biological Sciences",MSC,252,450
2018,Goa,MSC-CHEM,"M.Sc. Chemistry",MSC,255,450
2018,Goa,MSC-ECON,"M.Sc. Economics",MSC,292,450
2018,Goa,MSC-MATH,"M.Sc. Mathematics",MSC,277,450
